age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
middle_aged2,State-gov,p50,HS-grad,average,Married-civ-spouse,Protective-serv,Husband,White,Male,zero,zero,normal,United-States,<=50K
middle_aged2,Local-gov,p75,Some-college,average,Married-civ-spouse,Protective-serv,Husband,White,Male,zero,zero,high,United-States,<=50K
adult,Private,p100,HS-grad,average,Married-civ-spouse,Adm-clerical,Wife,White,Female,zero,zero,normal,United-States,<=50K
middle_aged,Private,p75,Assoc-acdm,average,Never-married,Adm-clerical,Not-in-family,White,Female,zero,zero,normal,Cuba,<=50K
adult,Private,p25,Some-college,average,Never-married,Handlers-cleaners,Own-child,Asian-Pac-Islander,Male,zero,zero,normal,United-States,<=50K
young,Private,p25,Some-college,average,Separated,Other-service,Unmarried,Asian-Pac-Islander,Female,zero,zero,normal,United-States,<=50K
adult,Private,p100,Some-college,average,Never-married,Priv-house-serv,Not-in-family,White,Female,zero,zero,low,United-States,<=50K
adult,Private,p100,Bachelors,average,Married-civ-spouse,Other-service,Not-in-family,Other,Female,zero,zero,low,Mexico,<=50K
young,Private,p100,HS-grad,average,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,zero,zero,normal,United-States,<=50K
young,Self-emp-not-inc,p25,Bachelors,average,Married-civ-spouse,Craft-repair,Husband,White,Male,zero,zero,normal,United-States,<=50K
young,Private,p100,Masters,average,Married-civ-spouse,Tech-support,Husband,White,Male,zero,zero,low,United-States,<=50K
old,Private,p100,Some-college,average,Married-civ-spouse,Protective-serv,Husband,White,Male,zero,zero,normal,Canada,<=50K
middle_aged,Self-emp-not-inc,p75,HS-grad,average,Married-civ-spouse,Exec-managerial,Husband,White,Male,zero,zero,normal,United-States,<=50K
young,Private,p75,HS-grad,average,Married-civ-spouse,Sales,Husband,White,Male,nonzero,zero,high,United-States,>50K
young,Private,p25,HS-grad,average,Married-civ-spouse,Adm-clerical,Husband,Amer-Indian-Eskimo,Male,zero,zero,normal,United-States,>50K
middle_aged,Private,p75,Bachelors,average,Married-civ-spouse,Prof-specialty,Husband,White,Male,zero,zero,normal,United-States,<=50K
middle_aged2,Private,p25,10th,elementary,Divorced,Craft-repair,Not-in-family,White,Male,zero,zero,normal,United-States,<=50K
middle_aged,Private,p100,Some-college,average,Separated,Adm-clerical,Unmarried,Black,Female,zero,zero,normal,United-States,<=50K
middle_aged,Private,p25,Masters,average,Married-civ-spouse,Exec-managerial,Husband,White,Male,zero,zero,high,United-States,>50K
young,Private,p100,HS-grad,average,Separated,Craft-repair,Not-in-family,White,Male,zero,zero,high,United-States,<=50K
young,Self-emp-not-inc,p75,Bachelors,average,Married-civ-spouse,Craft-repair,Husband,White,Male,zero,zero,normal,United-States,>50K
middle_aged,Private,p75,HS-grad,average,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,zero,zero,normal,United-States,<=50K
middle_aged2,Self-emp-not-inc,p50,Assoc-acdm,average,Married-spouse-absent,Farming-fishing,Unmarried,Amer-Indian-Eskimo,Male,zero,zero,normal,United-States,<=50K
young,Private,p25,11th,elementary,Divorced,Craft-repair,Unmarried,White,Male,zero,zero,normal,United-States,<=50K
middle_aged,Private,p100,HS-grad,average,Divorced,Craft-repair,Own-child,White,Male,zero,zero,normal,United-States,<=50K
young,Private,p50,HS-grad,average,Married-civ-spouse,Sales,Husband,White,Male,zero,zero,normal,United-States,>50K
adult,Private,p25,HS-grad,average,Never-married,Machine-op-inspct,Own-child,White,Male,zero,zero,normal,United-States,<=50K
adult,Private,p75,12th,elementary,Never-married,Other-service,Unmarried,Black,Female,zero,zero,normal,?,<=50K
middle_aged2,Federal-gov,p75,HS-grad,average,Married-civ-spouse,Adm-clerical,Wife,White,Female,nonzero,zero,normal,United-States,>50K
young,Private,p50,HS-grad,average,Separated,Adm-clerical,Own-child,Asian-Pac-Islander,Female,zero,zero,normal,Philippines,<=50K
young,Private,p75,Some-college,average,Divorced,Sales,Unmarried,White,Female,zero,zero,normal,United-States,<=50K
teenager,Self-emp-not-inc,p75,HS-grad,average,Never-married,Farming-fishing,Own-child,White,Male,zero,zero,low,United-States,<=50K
adult,Private,p75,HS-grad,average,Never-married,Adm-clerical,Not-in-family,White,Female,zero,zero,normal,United-States,<=50K
young,Private,p25,Bachelors,average,Married-civ-spouse,Prof-specialty,Husband,White,Male,zero,zero,normal,United-States,>50K
young,Private,p75,Bachelors,average,Married-civ-spouse,Sales,Husband,White,Male,zero,zero,normal,United-States,>50K
young,Self-emp-not-inc,p100,7th-8th,elementary,Never-married,Farming-fishing,Own-child,White,Male,zero,zero,very_high,United-States,<=50K
middle_aged,Private,p100,Masters,average,Married-civ-spouse,Exec-managerial,Husband,White,Male,zero,zero,normal,United-States,<=50K
middle_aged,Self-emp-not-inc,p75,Prof-school,high_education,Married-civ-spouse,Prof-specialty,Husband,White,Male,zero,nonzero,high,United-States,>50K
adult,Private,p100,5th-6th,elementary,Never-married,Priv-house-serv,Not-in-family,White,Female,zero,zero,normal,Mexico,<=50K
middle_aged,State-gov,p50,Masters,average,Married-civ-spouse,Prof-specialty,Husband,White,Male,zero,zero,normal,United-States,>50K
middle_aged,Private,p25,1st-4th,elementary,Married-civ-spouse,Farming-fishing,Husband,White,Male,zero,zero,normal,Mexico,<=50K
old,Self-emp-not-inc,p25,1st-4th,elementary,Married-civ-spouse,Craft-repair,Husband,White,Male,zero,zero,low,United-States,<=50K
old,Private,p25,7th-8th,elementary,Married-civ-spouse,Craft-repair,Husband,White,Male,zero,zero,normal,United-States,<=50K
young,Private,p100,Some-college,average,Separated,Adm-clerical,Not-in-family,Black,Male,zero,zero,normal,United-States,<=50K
middle_aged,Private,p100,HS-grad,average,Divorced,Transport-moving,Unmarried,White,Male,zero,zero,high,United-States,<=50K
middle_aged,Private,p25,Masters,average,Never-married,Exec-managerial,Not-in-family,White,Female,zero,zero,normal,United-States,<=50K
old,Private,p50,Bachelors,average,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,zero,zero,normal,South,<=50K
middle_aged,Self-emp-inc,p25,Some-college,average,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,zero,zero,high,Taiwan,<=50K
old,Private,p75,10th,elementary,Divorced,Handlers-cleaners,Not-in-family,White,Female,zero,zero,normal,United-States,<=50K
adult,Private,p50,HS-grad,average,Married-civ-spouse,Craft-repair,Husband,White,Male,zero,zero,normal,United-States,<=50K
middle_aged,Private,p50,Some-college,average,Never-married,Other-service,Own-child,White,Female,zero,zero,normal,United-States,<=50K
middle_aged,Self-emp-inc,p75,Bachelors,average,Married-civ-spouse,Sales,Husband,White,Male,zero,zero,normal,?,>50K
young,Federal-gov,p100,Some-college,average,Divorced,Adm-clerical,Unmarried,White,Female,zero,zero,normal,United-States,<=50K
middle_aged,Self-emp-not-inc,p75,HS-grad,average,Married-civ-spouse,Farming-fishing,Husband,White,Male,zero,nonzero,high,United-States,<=50K
young,Private,p100,Some-college,average,Never-married,Adm-clerical,Own-child,White,Female,zero,zero,low,United-States,<=50K
adult,Private,p25,Bachelors,average,Married-spouse-absent,Other-service,Not-in-family,White,Male,zero,zero,high,United-States,<=50K
middle_aged,Private,p50,Doctorate,high_education,Never-married,Prof-specialty,Not-in-family,White,Male,zero,zero,normal,United-States,>50K
young,Private,p75,Bachelors,average,Married-civ-spouse,Prof-specialty,Husband,White,Male,zero,zero,normal,United-States,>50K
adult,Private,p75,Some-college,average,Divorced,Handlers-cleaners,Not-in-family,White,Male,zero,zero,normal,United-States,<=50K
middle_aged2,Private,p50,Bachelors,average,Married-civ-spouse,Sales,Husband,White,Male,zero,nonzero,normal,United-States,>50K
young,Private,p100,Some-college,average,Married-civ-spouse,Sales,Husband,White,Male,zero,zero,high,United-States,>50K
middle_aged,Private,p75,HS-grad,average,Separated,Adm-clerical,Unmarried,Black,Female,zero,zero,normal,?,<=50K
adult,Private,p50,Some-college,average,Never-married,Other-service,Not-in-family,White,Female,zero,zero,normal,United-States,<=50K
middle_aged,Private,p100,HS-grad,average,Married-civ-spouse,Craft-repair,Husband,White,Male,zero,zero,normal,United-States,<=50K
young,Self-emp-inc,p100,Some-college,average,Married-civ-spouse,Sales,Husband,White,Male,zero,zero,high,United-States,>50K
middle_aged,Private,p75,Bachelors,average,Married-civ-spouse,Exec-managerial,Husband,Black,Male,zero,zero,normal,United-States,>50K
adult,Private,p75,Bachelors,average,Never-married,Sales,Own-child,White,Male,zero,zero,normal,United-States,<=50K
adult,Private,p50,HS-grad,average,Married-civ-spouse,Transport-moving,Husband,Other,Male,zero,zero,high,United-States,<=50K
adult,Private,p50,HS-grad,average,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,zero,zero,normal,United-States,<=50K
very_old,Private,p100,HS-grad,average,Married-civ-spouse,Farming-fishing,Husband,White,Male,zero,zero,high,United-States,<=50K
middle_aged,Private,p75,Assoc-voc,average,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,zero,zero,normal,United-States,>50K
adult,Private,p25,Bachelors,average,Married-civ-spouse,Exec-managerial,Wife,White,Female,zero,zero,high,United-States,>50K
middle_aged,Private,p50,Bachelors,average,Married-civ-spouse,Exec-managerial,Husband,White,Male,zero,zero,high,United-States,<=50K
middle_aged,Private,p25,HS-grad,average,Divorced,Craft-repair,Not-in-family,White,Male,zero,zero,normal,United-States,<=50K
adult,Private,p75,Some-college,average,Never-married,Adm-clerical,Own-child,White,Female,zero,zero,low,United-States,<=50K
adult,Private,p100,Some-college,average,Never-married,Transport-moving,Own-child,White,Male,zero,zero,low,United-States,<=50K
very_old,Self-emp-not-inc,p100,7th-8th,elementary,Married-civ-spouse,Craft-repair,Husband,White,Male,zero,zero,low,United-States,<=50K
adult,Private,p50,Some-college,average,Never-married,Transport-moving,Not-in-family,Black,Male,zero,zero,normal,United-States,<=50K
middle_aged2,Self-emp-not-inc,p25,Some-college,average,Married-civ-spouse,Sales,Husband,White,Male,zero,zero,high,United-States,<=50K
young,Private,p75,Some-college,average,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,zero,zero,normal,United-States,>50K
young,Private,p25,Some-college,average,Married-civ-spouse,Craft-repair,Husband,White,Male,zero,zero,high,United-States,<=50K
young,Private,p50,Some-college,average,Divorced,Machine-op-inspct,Not-in-family,White,Male,zero,zero,high,United-States,<=50K
adult,Private,p75,Some-college,average,Divorced,Other-service,Not-in-family,White,Male,zero,zero,normal,United-States,<=50K
middle_aged,Private,p75,Assoc-voc,average,Divorced,Sales,Unmarried,White,Female,zero,zero,normal,United-States,<=50K
adult,Private,p50,HS-grad,average,Never-married,Adm-clerical,Not-in-family,Other,Female,zero,zero,normal,United-States,<=50K
teenager,Private,p25,HS-grad,average,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,zero,zero,high,United-States,<=50K
middle_aged2,Private,p50,HS-grad,average,Married-civ-spouse,Adm-clerical,Husband,White,Male,zero,zero,high,United-States,<=50K
middle_aged2,Private,p100,7th-8th,elementary,Widowed,Machine-op-inspct,Unmarried,Other,Female,zero,zero,normal,Dominican-Republic,<=50K
adult,Private,p75,Bachelors,average,Never-married,Prof-specialty,Not-in-family,White,Female,zero,zero,normal,United-States,<=50K
young,Private,p25,HS-grad,average,Married-civ-spouse,Transport-moving,Husband,White,Male,zero,zero,normal,United-States,>50K
old,Private,p100,Assoc-voc,average,Married-civ-spouse,Other-service,Husband,White,Male,zero,zero,high,United-States,>50K
young,Self-emp-not-inc,p100,Some-college,average,Married-civ-spouse,Adm-clerical,Wife,White,Female,zero,zero,high,United-States,>50K
middle_aged2,Self-emp-not-inc,p75,HS-grad,average,Married-civ-spouse,Farming-fishing,Husband,White,Male,zero,zero,high,United-States,<=50K
middle_aged,Self-emp-inc,p50,Some-college,average,Married-civ-spouse,Exec-managerial,Husband,White,Male,zero,zero,high,United-States,<=50K
young,Self-emp-not-inc,p25,HS-grad,average,Married-civ-spouse,Farming-fishing,Husband,White,Male,nonzero,zero,normal,United-States,<=50K
adult,Self-emp-not-inc,p50,HS-grad,average,Married-civ-spouse,Transport-moving,Husband,White,Male,zero,zero,normal,United-States,<=50K
middle_aged2,Self-emp-not-inc,p50,Bachelors,average,Married-civ-spouse,Farming-fishing,Husband,White,Male,zero,zero,normal,United-States,<=50K
young,Private,p50,Prof-school,high_education,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,nonzero,zero,high,United-States,>50K
last_years,Private,p25,HS-grad,average,Widowed,Other-service,Not-in-family,White,Female,zero,nonzero,normal,United-States,<=50K
adult,Private,p75,Bachelors,average,Never-married,Exec-managerial,Not-in-family,White,Female,zero,zero,normal,United-States,<=50K
young,Private,p75,HS-grad,average,Never-married,Adm-clerical,Not-in-family,White,Female,zero,zero,normal,United-States,<=50K
middle_aged,Private,p25,Assoc-voc,average,Married-civ-spouse,Exec-managerial,Husband,White,Male,nonzero,zero,normal,United-States,>50K
young,Local-gov,p100,Bachelors,average,Married-civ-spouse,Exec-managerial,Husband,Black,Male,zero,zero,high,United-States,>50K
old,Private,p75,9th,elementary,Divorced,Sales,Not-in-family,White,Male,zero,zero,normal,United-States,<=50K
adult,Private,p25,Some-college,average,Never-married,Sales,Not-in-family,White,Male,zero,zero,normal,United-States,<=50K
middle_aged,Private,p25,Assoc-voc,average,Married-civ-spouse,Craft-repair,Husband,White,Male,zero,zero,normal,United-States,<=50K
last_years,Private,p25,Bachelors,average,Married-civ-spouse,Sales,Husband,White,Male,nonzero,zero,low,United-States,>50K
young,Private,p75,HS-grad,average,Divorced,Adm-clerical,Unmarried,White,Female,zero,zero,normal,United-States,<=50K
young,Private,p100,10th,elementary,Divorced,Craft-repair,Other-relative,Black,Male,zero,zero,normal,United-States,<=50K
old,Self-emp-inc,p75,Some-college,average,Married-civ-spouse,Exec-managerial,Husband,White,Male,zero,zero,normal,United-States,>50K
old,Private,p100,5th-6th,elementary,Married-civ-spouse,Transport-moving,Husband,White,Male,zero,zero,normal,United-States,<=50K
young,Self-emp-not-inc,p75,Prof-school,high_education,Never-married,Prof-specialty,Not-in-family,White,Female,zero,zero,high,United-States,>50K
middle_aged,Self-emp-not-inc,p100,11th,elementary,Married-civ-spouse,Exec-managerial,Husband,White,Male,zero,zero,high,United-States,<=50K
middle_aged,Private,p50,Masters,average,Married-civ-spouse,Exec-managerial,Husband,White,Male,zero,zero,high,United-States,>50K
middle_aged,Self-emp-inc,p50,HS-grad,average,Married-civ-spouse,Sales,Husband,White,Male,zero,zero,normal,United-States,>50K
adult,Private,p75,Some-college,average,Never-married,Tech-support,Not-in-family,White,Female,nonzero,zero,normal,United-States,<=50K
adult,Private,p75,Assoc-voc,average,Separated,Other-service,Unmarried,White,Female,zero,zero,normal,Mexico,<=50K
adult,Private,p25,Some-college,average,Married-civ-spouse,Sales,Husband,Black,Male,zero,zero,normal,United-States,<=50K
middle_aged,Private,p50,HS-grad,average,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,nonzero,zero,normal,United-States,<=50K
young,Private,p75,Prof-school,high_education,Married-civ-spouse,Prof-specialty,Husband,White,Male,zero,nonzero,high,United-States,>50K
middle_aged,Private,p25,Bachelors,average,Divorced,Sales,Unmarried,White,Male,zero,zero,normal,United-States,>50K
young,Private,p75,HS-grad,average,Married-civ-spouse,Transport-moving,Husband,White,Male,zero,zero,high,United-States,<=50K
adult,Private,p25,HS-grad,average,Married-civ-spouse,Other-service,Wife,White,Female,zero,zero,normal,United-States,<=50K
young,Private,p25,Assoc-voc,average,Separated,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,zero,zero,normal,United-States,<=50K
adult,Private,p100,5th-6th,elementary,Never-married,Handlers-cleaners,Not-in-family,White,Male,zero,zero,normal,Mexico,<=50K
adult,Private,p50,Some-college,average,Never-married,Other-service,Not-in-family,White,Male,zero,zero,normal,United-States,<=50K
middle_aged,Private,p25,11th,elementary,Separated,Other-service,Unmarried,White,Female,zero,zero,normal,United-States,<=50K
middle_aged2,Private,p100,HS-grad,average,Married-civ-spouse,Craft-repair,Husband,White,Male,zero,zero,normal,United-States,<=50K
adult,Private,p75,HS-grad,average,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,zero,zero,normal,United-States,<=50K
middle_aged2,Self-emp-not-inc,p100,1st-4th,elementary,Married-civ-spouse,Transport-moving,Husband,White,Male,zero,nonzero,low,United-States,<=50K
adult,Private,p75,HS-grad,average,Never-married,Handlers-cleaners,Not-in-family,White,Male,zero,zero,normal,United-States,<=50K
young,Private,p75,Assoc-acdm,average,Never-married,Prof-specialty,Unmarried,White,Female,zero,zero,normal,United-States,<=50K
middle_aged,Private,p75,Some-college,average,Married-civ-spouse,Craft-repair,Husband,White,Male,zero,zero,normal,United-States,>50K
middle_aged2,Private,p100,Bachelors,average,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,zero,zero,normal,United-States,>50K
adult,Private,p75,10th,elementary,Never-married,Machine-op-inspct,Not-in-family,White,Male,zero,zero,normal,Dominican-Republic,<=50K
middle_aged2,Private,p50,HS-grad,average,Married-civ-spouse,Craft-repair,Husband,White,Male,zero,zero,normal,United-States,<=50K
young,Private,p50,Bachelors,average,Married-civ-spouse,Exec-managerial,Husband,White,Male,zero,zero,normal,United-States,>50K
young,Self-emp-inc,p50,Doctorate,high_education,Never-married,Prof-specialty,Own-child,White,Male,zero,zero,normal,United-States,<=50K
adult,Private,p50,Some-college,average,Never-married,Other-service,Own-child,White,Female,zero,zero,low,United-States,<=50K
young,Private,p100,HS-grad,average,Divorced,Handlers-cleaners,Other-relative,White,Male,zero,zero,normal,El-Salvador,<=50K
young,Private,p75,Some-college,average,Never-married,Sales,Other-relative,White,Female,zero,zero,normal,United-States,<=50K
old,Private,p50,HS-grad,average,Married-civ-spouse,Transport-moving,Husband,White,Male,zero,zero,normal,United-States,>50K
middle_aged,Local-gov,p100,HS-grad,average,Married-civ-spouse,Other-service,Husband,Other,Male,zero,zero,normal,?,<=50K
young,Private,p25,Some-college,average,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,zero,zero,normal,Japan,>50K
middle_aged,Private,p100,1st-4th,elementary,Married-spouse-absent,Farming-fishing,Unmarried,White,Male,zero,zero,normal,Mexico,<=50K
adult,Private,p75,Some-college,average,Never-married,Handlers-cleaners,Not-in-family,White,Male,zero,zero,normal,United-States,<=50K
young,Self-emp-not-inc,p100,Bachelors,average,Married-civ-spouse,Sales,Husband,White,Male,zero,zero,high,United-States,>50K
young,Private,p75,Some-college,average,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,zero,zero,normal,United-States,>50K
middle_aged2,Self-emp-not-inc,p50,HS-grad,average,Married-civ-spouse,Exec-managerial,Husband,White,Male,zero,zero,normal,United-States,>50K
adult,Private,p50,11th,elementary,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,zero,zero,normal,United-States,<=50K
young,Private,p100,Assoc-voc,average,Married-civ-spouse,Sales,Husband,White,Male,zero,zero,normal,United-States,>50K
middle_aged2,Private,p25,Bachelors,average,Married-civ-spouse,Other-service,Husband,White,Male,zero,zero,low,United-States,<=50K
middle_aged,Private,p100,Some-college,average,Married-civ-spouse,Exec-managerial,Husband,White,Male,zero,zero,high,United-States,>50K
very_old,Private,p75,HS-grad,average,Married-civ-spouse,Other-service,Husband,White,Male,zero,zero,low,United-States,<=50K
middle_aged,Private,p50,HS-grad,average,Married-civ-spouse,Craft-repair,Husband,White,Male,zero,zero,normal,United-States,>50K
middle_aged,Local-gov,p50,HS-grad,average,Married-civ-spouse,Exec-managerial,Husband,White,Male,zero,zero,high,United-States,<=50K
middle_aged,Private,p75,Some-college,average,Married-civ-spouse,Craft-repair,Husband,White,Male,zero,zero,normal,United-States,>50K
adult,Private,p100,HS-grad,average,Never-married,Adm-clerical,Not-in-family,White,Female,zero,zero,normal,United-States,<=50K
young,Private,p100,HS-grad,average,Married-civ-spouse,Other-service,Husband,Black,Male,zero,zero,normal,United-States,<=50K
adult,Private,p50,Some-college,average,Never-married,Handlers-cleaners,Own-child,White,Male,zero,zero,normal,United-States,<=50K
adult,Private,p25,HS-grad,average,Married-civ-spouse,Transport-moving,Husband,White,Male,zero,zero,normal,United-States,>50K
teenager,Private,p50,HS-grad,average,Never-married,Sales,Own-child,White,Female,zero,zero,low,United-States,<=50K
adult,Private,p25,Bachelors,average,Never-married,Exec-managerial,Own-child,White,Female,zero,nonzero,normal,?,<=50K
middle_aged2,Private,p25,Bachelors,average,Married-civ-spouse,Tech-support,Husband,White,Male,nonzero,zero,normal,United-States,>50K
adult,Private,p25,HS-grad,average,Never-married,Other-service,Not-in-family,Black,Female,zero,zero,normal,United-States,<=50K
young,Private,p50,Assoc-voc,average,Divorced,Tech-support,Own-child,White,Male,zero,zero,normal,United-States,<=50K
adult,Federal-gov,p25,Bachelors,average,Never-married,Prof-specialty,Own-child,Black,Female,zero,zero,normal,United-States,<=50K
adult,Private,p100,5th-6th,elementary,Married-civ-spouse,Other-service,Husband,White,Male,zero,zero,normal,Mexico,<=50K
young,Private,p75,Assoc-voc,average,Never-married,Exec-managerial,Not-in-family,Black,Female,zero,zero,normal,England,<=50K
adult,Private,p50,12th,elementary,Never-married,Machine-op-inspct,Own-child,White,Male,zero,zero,high,United-States,<=50K
middle_aged,Private,p50,HS-grad,average,Married-civ-spouse,Craft-repair,Husband,White,Male,zero,zero,normal,United-States,>50K
adult,Private,p50,HS-grad,average,Divorced,Sales,Unmarried,White,Female,zero,zero,normal,United-States,<=50K
teenager,Private,p100,HS-grad,average,Never-married,Handlers-cleaners,Own-child,White,Male,zero,zero,normal,United-States,<=50K
very_old,Private,p75,Bachelors,average,Widowed,Other-service,Not-in-family,White,Female,zero,zero,low,United-States,<=50K
adult,Private,p75,9th,elementary,Never-married,Sales,Not-in-family,White,Male,zero,zero,normal,United-States,<=50K
adult,State-gov,p25,Some-college,average,Never-married,Tech-support,Own-child,White,Female,zero,zero,very_high,United-States,<=50K
middle_aged,Private,p25,Prof-school,high_education,Married-civ-spouse,Prof-specialty,Husband,White,Male,nonzero,zero,high,United-States,>50K
adult,Private,p50,Some-college,average,Married-civ-spouse,Adm-clerical,Husband,White,Male,nonzero,zero,normal,United-States,>50K
adult,Private,p75,HS-grad,average,Never-married,Adm-clerical,Own-child,White,Female,zero,zero,normal,United-States,<=50K
young,Self-emp-not-inc,p75,Prof-school,high_education,Married-civ-spouse,Prof-specialty,Husband,White,Male,nonzero,zero,high,United-States,>50K
middle_aged,State-gov,p100,Bachelors,average,Married-civ-spouse,Exec-managerial,Husband,White,Male,zero,zero,normal,United-States,>50K
young,Private,p75,Prof-school,high_education,Never-married,Prof-specialty,Not-in-family,White,Male,zero,zero,high,United-States,<=50K
middle_aged,Private,p75,HS-grad,average,Married-civ-spouse,Craft-repair,Husband,Other,Male,zero,zero,normal,United-States,<=50K
middle_aged,Private,p50,9th,elementary,Married-civ-spouse,Machine-op-inspct,Other-relative,Asian-Pac-Islander,Female,zero,zero,normal,China,<=50K
middle_aged2,Private,p25,HS-grad,average,Never-married,Other-service,Not-in-family,Black,Male,zero,zero,normal,Haiti,<=50K
young,State-gov,p25,12th,elementary,Never-married,Adm-clerical,Not-in-family,Black,Female,zero,zero,normal,United-States,<=50K
middle_aged2,Private,p75,HS-grad,average,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,zero,zero,normal,United-States,<=50K
young,Self-emp-not-inc,p100,Bachelors,average,Married-civ-spouse,Exec-managerial,Husband,Other,Male,nonzero,zero,high,Puerto-Rico,>50K
middle_aged2,Private,p100,Some-college,average,Separated,Adm-clerical,Not-in-family,White,Female,zero,zero,normal,United-States,<=50K
middle_aged2,Private,p25,Assoc-voc,average,Married-civ-spouse,Transport-moving,Husband,White,Male,zero,zero,low,United-States,<=50K
young,Private,p75,HS-grad,average,Married-civ-spouse,Sales,Husband,White,Male,zero,zero,high,United-States,<=50K
adult,Private,p50,Assoc-voc,average,Never-married,Adm-clerical,Own-child,White,Female,zero,zero,high,United-States,<=50K
adult,Private,p100,Some-college,average,Never-married,Prof-specialty,Own-child,White,Female,zero,zero,normal,United-States,<=50K
adult,Private,p100,Assoc-acdm,average,Never-married,Adm-clerical,Not-in-family,White,Male,zero,zero,normal,United-States,<=50K
young,Self-emp-inc,p75,Bachelors,average,Married-civ-spouse,Exec-managerial,Husband,White,Male,zero,zero,high,United-States,>50K
adult,Self-emp-not-inc,p75,10th,elementary,Never-married,Machine-op-inspct,Own-child,White,Male,zero,zero,normal,United-States,<=50K
adult,Private,p75,Assoc-voc,average,Never-married,Other-service,Other-relative,Black,Male,zero,zero,normal,United-States,<=50K
very_old,State-gov,p25,HS-grad,average,Widowed,Adm-clerical,Not-in-family,White,Female,zero,zero,normal,United-States,<=50K
old,Private,p100,HS-grad,average,Married-civ-spouse,Protective-serv,Husband,White,Male,zero,zero,low,United-States,<=50K
middle_aged2,Private,p50,Bachelors,average,Divorced,Exec-managerial,Not-in-family,White,Male,zero,zero,normal,United-States,>50K
young,Private,p25,Assoc-voc,average,Married-civ-spouse,Craft-repair,Husband,White,Male,zero,zero,normal,United-States,<=50K
young,Private,p50,HS-grad,average,Married-civ-spouse,Other-service,Husband,Black,Male,zero,zero,normal,United-States,<=50K
young,Private,p25,HS-grad,average,Never-married,Other-service,Not-in-family,White,Male,zero,zero,normal,United-States,<=50K
young,Private,p25,Some-college,average,Married-civ-spouse,Exec-managerial,Husband,White,Male,zero,zero,normal,United-States,<=50K
young,Private,p50,10th,elementary,Never-married,Adm-clerical,Unmarried,White,Female,zero,zero,normal,United-States,<=50K
middle_aged2,Private,p75,Masters,average,Married-civ-spouse,Exec-managerial,Husband,White,Male,zero,zero,normal,United-States,>50K
adult,Private,p100,HS-grad,average,Never-married,Adm-clerical,Unmarried,White,Male,zero,zero,normal,United-States,<=50K
middle_aged2,Self-emp-inc,p50,Some-college,average,Married-civ-spouse,Exec-managerial,Husband,White,Male,zero,zero,high,United-States,>50K
adult,Local-gov,p100,10th,elementary,Never-married,Other-service,Not-in-family,White,Male,zero,zero,normal,United-States,<=50K
adult,State-gov,p100,Some-college,average,Married-civ-spouse,Protective-serv,Husband,White,Male,zero,zero,normal,United-States,<=50K
adult,Private,p100,11th,elementary,Married-civ-spouse,Transport-moving,Husband,White,Male,zero,zero,normal,United-States,<=50K
young,Local-gov,p25,Masters,average,Never-married,Prof-specialty,Not-in-family,White,Female,zero,zero,normal,Germany,<=50K
adult,Private,p75,Bachelors,average,Never-married,Sales,Not-in-family,White,Male,zero,zero,normal,United-States,<=50K
adult,Private,p25,10th,elementary,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,zero,zero,high,United-States,<=50K
adult,Private,p100,HS-grad,average,Never-married,Machine-op-inspct,Not-in-family,White,Male,zero,zero,normal,United-States,<=50K
young,Self-emp-not-inc,p25,Assoc-acdm,average,Married-civ-spouse,Adm-clerical,Wife,White,Female,zero,zero,normal,United-States,>50K
old,Private,p75,Some-college,average,Divorced,Adm-clerical,Unmarried,White,Female,zero,zero,normal,United-States,<=50K
old,Self-emp-not-inc,p50,Some-college,average,Never-married,Sales,Not-in-family,White,Female,zero,zero,low,United-States,<=50K
young,Private,p100,Bachelors,average,Never-married,Farming-fishing,Not-in-family,White,Male,zero,zero,normal,United-States,<=50K
middle_aged,Private,p25,Masters,average,Married-civ-spouse,Exec-managerial,Husband,White,Male,zero,zero,high,United-States,>50K
young,Private,p100,HS-grad,average,Married-civ-spouse,Craft-repair,Husband,White,Male,zero,zero,normal,United-States,<=50K
adult,State-gov,p50,Bachelors,average,Never-married,Prof-specialty,Not-in-family,White,Male,zero,zero,normal,United-States,<=50K
middle_aged,Private,p25,Bachelors,average,Never-married,Prof-specialty,Not-in-family,White,Female,zero,zero,normal,United-States,<=50K
